date_reported,country,new_cases,cumulative_cases,new_deaths,cumulative_deaths
3/8/2020,Bangladesh,7,7,0,0
3/9/2020,Bangladesh,0,7,0,0
3/10/2020,Bangladesh,0,7,0,0
3/11/2020,Bangladesh,0,7,0,0
3/12/2020,Bangladesh,0,7,0,0
3/13/2020,Bangladesh,0,7,0,0
3/14/2020,Bangladesh,0,7,0,0
3/15/2020,Bangladesh,0,7,0,0
3/16/2020,Bangladesh,5,12,0,0
3/17/2020,Bangladesh,0,12,0,0
3/18/2020,Bangladesh,2,14,0,0
3/19/2020,Bangladesh,3,17,1,1
3/20/2020,Bangladesh,0,17,0,1
3/21/2020,Bangladesh,7,24,1,2
3/22/2020,Bangladesh,0,24,0,2
3/23/2020,Bangladesh,3,27,0,2
3/24/2020,Bangladesh,12,39,2,4
3/25/2020,Bangladesh,0,39,0,4
3/26/2020,Bangladesh,5,44,1,5
3/27/2020,Bangladesh,4,48,0,5
3/28/2020,Bangladesh,0,48,0,5
3/29/2020,Bangladesh,0,48,0,5
3/30/2020,Bangladesh,1,49,0,5
3/31/2020,Bangladesh,0,49,0,5
4/1/2020,Bangladesh,5,54,1,6
4/2/2020,Bangladesh,2,56,0,6
4/3/2020,Bangladesh,5,61,0,6
4/4/2020,Bangladesh,9,70,2,8
4/5/2020,Bangladesh,18,88,0,8
4/6/2020,Bangladesh,35,123,4,12
4/7/2020,Bangladesh,41,164,5,17
4/8/2020,Bangladesh,54,218,3,20
4/9/2020,Bangladesh,112,330,1,21
4/10/2020,Bangladesh,94,424,6,27
4/11/2020,Bangladesh,58,482,3,30
4/12/2020,Bangladesh,139,621,4,34
4/13/2020,Bangladesh,182,803,5,39
4/14/2020,Bangladesh,209,1012,7,46
4/15/2020,Bangladesh,219,1231,4,50
4/16/2020,Bangladesh,341,1572,10,60
4/17/2020,Bangladesh,266,1838,15,75
4/18/2020,Bangladesh,306,2144,9,84
4/19/2020,Bangladesh,312,2456,7,91
4/20/2020,Bangladesh,492,2948,10,101
4/21/2020,Bangladesh,434,3382,9,110
4/22/2020,Bangladesh,390,3772,10,120
4/23/2020,Bangladesh,414,4186,7,127
4/24/2020,Bangladesh,503,4689,4,131
4/25/2020,Bangladesh,309,4998,9,140
4/26/2020,Bangladesh,418,5416,5,145
4/27/2020,Bangladesh,497,5913,7,152
4/28/2020,Bangladesh,549,6462,3,155
