,district,total_cases,population_2016
0,Dhaka,141130,13142000
1,Chattogram,24159,8440000
2,Bogura,8617,3724000
3,Cumilla,8447,6046000
4,Sylhet,8276,3957000
5,Faridpur,7715,2088000
6,Narayanganj,7691,3284000
7,Khulna,6809,2528000
8,Gazipur,6210,3809000
9,Cox's Bazar,5422,2655000
10,Rajshahi,5420,2853000
11,Noakhali,5262,3491000
12,Jashore,4353,3029000
13,Barishal,4323,2583000
14,Mymensingh,4044,5807000
15,Dinajpur,3958,3268000
16,Munshiganj,3944,1583000
17,Kushtia,3551,2170000
18,Tangail,3462,3923000
19,Rangpur,3424,3211000
20,Rajbari,3255,1144000
21,Kishoreganj,3225,3311000
22,Gopalganj,2816,1277000
23,Brahmanbaria,2606,3255000
24,Narshingdi,2604,2489000
25,Chandpur,2521,2707000
26,Sunamganj,2446,2800000
27,Sirajganj,2351,3455000
28,Lakshmipur,2231,1995000
29,Jhenaidah,2170,1976000
30,Feni,2064,1619000
31,Hobiganj,1879,2386000
32,Moulvibazar,1820,2148000
33,Shariatpur,1819,1284000
34,Jamalpur,1723,2541000
35,Manikganj,1621,1542000
36,Patuakhali,1582,1703000
37,Chuadanga,1570,1237000
38,Madaripur,1541,1295000
39,Narail,1476,801000
40,Naogaon,1407,2844000
41,Thakurgaon,1342,1553000
42,Gaibandha,1306,2718000
43,Pabna,1297,2818000
44,Nilphamari,1200,2049000
45,Joypurhat,1187,998000
46,Pirojpur,1133,1208000
47,Satkhira,1125,2174000
48,Natore,1120,1866000
49,Bagerhat,1016,1601000
50,Rangamati,1012,653000
51,Magura,994,1020000
52,Barguna,987,969000
53,Kurigram,958,2301000
54,Lalmonirhat,917,1398000
55,Bhola,879,1941000
56,Bandarban,839,434000
57,Chapainawabganj,804,1854000
58,Netrokona,782,2516000
59,Jhalokathi,772,741000
60,Khagrachari,733,685000
61,Panchagar,727,1104000
62,Meherpur,706,716000
63,Sherpur,517,1504000
