district,total_cases
Dhaka,155599
Chattogram,27634
Bogura,9179
Cumilla,8785
Sylhet,8767
Narayanganj,8229
Faridpur,7943
Khulna,7007
Gazipur,6637
Rajshahi,5658
Cox's Bazar,5591
Noakhali,5434
Barishal,4551
Jashore,4529
Dinajpur,4251
Mymensingh,4247
Munshiganj,4236
Rangpur,3771
Kushtia,3688
Tangail,3574
Rajbari,3344
Kishoreganj,3332
Gopalganj,2922
Brahmanbaria,2698
Narshingdi,2695
Chandpur,2591
Sunamganj,2491
Sirajganj,2478
Lakshmipur,2273
Jhenaidah,2239
Feni,2174
Hobiganj,1931
Moulvibazar,1852
Shariatpur,1846
Jamalpur,1752
Manikganj,1708
Patuakhali,1649
Chuadanga,1615
Madaripur,1596
Pabna,1529
Narail,1508
Naogaon,1499
Thakurgaon,1435
Gaibandha,1394
Nilphamari,1274
Joypurhat,1245
Natore,1161
Satkhira,1147
Pirojpur,1142
Rangamati,1087
Bagerhat,1032
Magura,1031
Barguna,1008
Kurigram,986
Lalmonirhat,941
Bhola,922
Bandarban,857
Chapainawabganj,808
Netrokona,808
Jhalokathi,801
Khagrachari,773
Panchagar,749
Meherpur,738
Sherpur,541
