District,Population_2016
Bagerhat,1601000
Bandarban,434000
Barguna,969000
Barishal,2583000
Bhola,1941000
Bogura,3724000
Brahmanbaria,3255000
Chandpur,2707000
Chattogram,8440000
Chuadanga,1237000
Cox's Bazar,2655000
Cumilla,6046000
Dhaka,13142000
Dinajpur,3268000
Faridpur,2088000
Feni,1619000
Gaibandha,2718000
Gazipur,3809000
Gopalganj,1277000
Hobiganj,2386000
Joypurhat,998000
Jamalpur,2541000
Jashore,3029000
Jhalokathi,741000
Jhenaidah,1976000
Khagrachari,685000
Khulna,2528000
Kishoreganj,3311000
Kurigram,2301000
Kushtia,2170000
Lakshmipur,1995000
Lalmonirhat,1398000
Madaripur,1295000
Magura,1020000
Manikganj,1542000
Meherpur,716000
Moulvibazar,2148000
Munshiganj,1583000
Mymensingh,5807000
Naogaon,2844000
Narail,801000
Narayanganj,3284000
Narshingdi,2489000
Natore,1866000
Chapainawabganj,1854000
Netrokona,2516000
Nilphamari,2049000
Noakhali,3491000
Pabna,2818000
Panchagar,1104000
Patuakhali,1703000
Pirojpur,1208000
Rajbari,1144000
Rajshahi,2853000
Rangamati,653000
Rangpur,3211000
Satkhira,2174000
Shariatpur,1284000
Sherpur,1504000
Sirajganj,3455000
Sunamganj,2800000
Sylhet,3957000
Tangail,3923000
Thakurgaon,1553000
